min_hr,min_mkts,min_mos,direction,pool,signals,HR,ROI%,$/sig,PnL,bl_HR,edge
0.85,10,9,NO,9,191,0.9267,48.47,48.47,9258.0,0.4233,0.5034
0.85,20,9,NO,9,191,0.9267,48.47,48.47,9258.0,0.4233,0.5034
0.85,30,9,NO,9,191,0.9267,48.47,48.47,9258.0,0.4233,0.5034
0.85,50,9,NO,9,191,0.9267,48.47,48.47,9258.0,0.4233,0.5034
0.85,50,6,NO,17,316,0.9082,37.93,37.93,11987.0,0.4233,0.4849
0.85,10,6,NO,21,328,0.9116,37.45,37.45,12283.0,0.4233,0.4882
0.85,20,6,NO,21,328,0.9116,37.45,37.45,12283.0,0.4233,0.4882
0.85,30,6,NO,20,327,0.9113,37.45,37.45,12246.0,0.4233,0.488
0.8,10,9,NO,22,874,0.8352,32.5,32.5,28407.0,0.4233,0.4119
0.8,20,9,NO,22,874,0.8352,32.5,32.5,28407.0,0.4233,0.4119
0.8,30,9,NO,22,874,0.8352,32.5,32.5,28407.0,0.4233,0.4119
0.8,50,9,NO,22,874,0.8352,32.5,32.5,28407.0,0.4233,0.4119
0.85,10,9,ALL,9,337,0.8783,31.47,31.47,10605.0,0.3256,0.5527
0.85,20,9,ALL,9,337,0.8783,31.47,31.47,10605.0,0.3256,0.5527
0.85,30,9,ALL,9,337,0.8783,31.47,31.47,10605.0,0.3256,0.5527
0.85,50,9,ALL,9,337,0.8783,31.47,31.47,10605.0,0.3256,0.5527
0.75,10,9,NO,37,1208,0.8278,28.18,28.18,34043.0,0.4233,0.4045
0.75,20,9,NO,37,1208,0.8278,28.18,28.18,34043.0,0.4233,0.4045
0.75,30,9,NO,37,1208,0.8278,28.18,28.18,34043.0,0.4233,0.4045
0.75,50,9,NO,37,1208,0.8278,28.18,28.18,34043.0,0.4233,0.4045
0.75,50,6,NO,74,1963,0.8293,27.97,27.97,54907.0,0.4233,0.406
0.85,50,6,ALL,17,538,0.8662,27.54,27.54,14816.0,0.3256,0.5405
0.75,10,6,NO,87,2089,0.8258,27.26,27.26,56941.0,0.4233,0.4024
0.75,20,6,NO,87,2089,0.8258,27.26,27.26,56941.0,0.4233,0.4024
0.75,30,6,NO,85,2088,0.8257,27.25,27.25,56904.0,0.4233,0.4023
0.85,10,6,ALL,21,551,0.8675,27.25,27.25,15013.0,0.3256,0.5419
0.85,20,6,ALL,21,551,0.8675,27.25,27.25,15013.0,0.3256,0.5419
0.85,30,6,ALL,20,550,0.8673,27.23,27.23,14976.0,0.3256,0.5416
0.8,50,6,NO,41,1373,0.8376,27.02,27.02,37105.0,0.4233,0.4142
0.8,10,6,NO,48,1411,0.8384,26.66,26.66,37621.0,0.4233,0.4151
0.8,20,6,NO,48,1411,0.8384,26.66,26.66,37621.0,0.4233,0.4151
0.8,30,6,NO,47,1410,0.8383,26.66,26.66,37584.0,0.4233,0.415
0.7,10,9,NO,60,1890,0.8026,25.38,25.38,47972.0,0.4233,0.3793
0.7,20,9,NO,60,1890,0.8026,25.38,25.38,47972.0,0.4233,0.3793
0.7,30,9,NO,60,1890,0.8026,25.38,25.38,47972.0,0.4233,0.3793
0.7,50,9,NO,60,1890,0.8026,25.38,25.38,47972.0,0.4233,0.3793
0.8,10,9,ALL,22,1577,0.8224,25.33,25.33,39950.0,0.3256,0.4968
0.8,20,9,ALL,22,1577,0.8224,25.33,25.33,39950.0,0.3256,0.4968
0.8,30,9,ALL,22,1577,0.8224,25.33,25.33,39950.0,0.3256,0.4968
0.8,50,9,ALL,22,1577,0.8224,25.33,25.33,39950.0,0.3256,0.4968
0.7,50,6,NO,120,2942,0.8083,24.96,24.96,73443.0,0.4233,0.3849
0.7,30,6,NO,139,3145,0.8035,23.98,23.98,75422.0,0.4233,0.3802
0.7,10,6,NO,142,3161,0.8042,23.97,23.97,75781.0,0.4233,0.3808
0.7,20,6,NO,142,3161,0.8042,23.97,23.97,75781.0,0.4233,0.3808
0.75,10,9,ALL,37,2161,0.8093,22.4,22.4,48406.0,0.3256,0.4837
0.75,20,9,ALL,37,2161,0.8093,22.4,22.4,48406.0,0.3256,0.4837
0.75,30,9,ALL,37,2161,0.8093,22.4,22.4,48406.0,0.3256,0.4837
0.75,50,9,ALL,37,2161,0.8093,22.4,22.4,48406.0,0.3256,0.4837
0.8,50,6,ALL,41,2610,0.8157,21.4,21.4,55853.0,0.3256,0.4901
0.75,50,6,ALL,74,3581,0.802,21.39,21.39,76582.0,0.3256,0.4764
0.8,10,6,ALL,48,2659,0.8142,21.28,21.28,56592.0,0.3256,0.4886
0.8,20,6,ALL,48,2659,0.8142,21.28,21.28,56592.0,0.3256,0.4886
0.8,30,6,ALL,47,2658,0.8141,21.28,21.28,56555.0,0.3256,0.4885
0.75,10,6,ALL,87,3790,0.7968,20.72,20.72,78528.0,0.3256,0.4712
0.75,20,6,ALL,87,3790,0.7968,20.72,20.72,78528.0,0.3256,0.4712
0.75,30,6,ALL,85,3789,0.7968,20.72,20.72,78491.0,0.3256,0.4711
0.8,50,3,NO,73,2566,0.8429,20.42,20.42,52390.0,0.4233,0.4196
0.65,50,9,NO,91,3323,0.7662,20.36,20.36,67664.0,0.4233,0.3428
0.65,10,9,NO,92,3331,0.7664,20.33,20.33,67707.0,0.4233,0.3431
0.65,20,9,NO,92,3331,0.7664,20.33,20.33,67707.0,0.4233,0.3431
0.65,30,9,NO,92,3331,0.7664,20.33,20.33,67707.0,0.4233,0.3431
0.8,30,3,NO,111,3016,0.8471,20.3,20.3,61239.0,0.4233,0.4238
0.7,10,9,ALL,60,3346,0.7711,19.9,19.9,66601.0,0.3256,0.4454
0.7,20,9,ALL,60,3346,0.7711,19.9,19.9,66601.0,0.3256,0.4454
0.7,30,9,ALL,60,3346,0.7711,19.9,19.9,66601.0,0.3256,0.4454
0.7,50,9,ALL,60,3346,0.7711,19.9,19.9,66601.0,0.3256,0.4454
0.75,50,3,NO,135,3564,0.8114,19.9,19.9,70915.0,0.4233,0.3881
0.85,20,3,NO,80,1551,0.8711,19.65,19.65,30476.0,0.4233,0.4477
0.85,30,3,NO,52,1353,0.8699,19.56,19.56,26460.0,0.4233,0.4466
0.8,20,3,NO,182,3327,0.8449,19.44,19.44,64673.0,0.4233,0.4216
0.85,50,3,NO,36,1222,0.8674,19.11,19.11,23353.0,0.4233,0.4441
0.75,30,3,NO,218,4422,0.8109,18.52,18.52,81910.0,0.4233,0.3876
0.85,10,3,NO,114,1674,0.8662,18.49,18.49,30957.0,0.4233,0.4428
0.8,10,3,NO,270,3621,0.8395,18.18,18.18,65829.0,0.4233,0.4162
0.7,50,6,ALL,120,5334,0.769,17.99,17.99,95965.0,0.3256,0.4434
0.7,10,6,ALL,142,5737,0.7638,17.53,17.53,100560.0,0.3256,0.4382
0.7,20,6,ALL,142,5737,0.7638,17.53,17.53,100560.0,0.3256,0.4382
0.7,30,6,ALL,139,5704,0.7635,17.34,17.34,98891.0,0.3256,0.4379
0.75,20,3,NO,360,5358,0.7932,16.95,16.95,90841.0,0.4233,0.3699
0.7,50,3,NO,229,5509,0.7735,16.78,16.78,92444.0,0.4233,0.3501
0.8,10,9,YES,22,703,0.8065,16.42,16.42,11543.0,0.2582,0.5483
0.8,20,9,YES,22,703,0.8065,16.42,16.42,11543.0,0.2582,0.5483
0.8,30,9,YES,22,703,0.8065,16.42,16.42,11543.0,0.2582,0.5483
0.8,50,9,YES,22,703,0.8065,16.42,16.42,11543.0,0.2582,0.5483
