window,min_hr,min_mkts,min_mos,direction,entry_lo,entry_hi,pool,signals,HR,ROI%,PnL,bl_HR,edge,sharpe,max_dd,profit_factor,worst_week,best_week,n_weeks,pct_pos_weeks,top1_pct,top3_pct,herfindahl,n_active
May-Jun25,0.55,10,3,ALL,0.0,1.0,1401,20503,0.5695,9.22,188968.0,0.3017,0.2678,3.04,32642.8,6.2,-19474.1,126427.3,10,0.6,0.255,0.355,0.0726,917
May-Jun25,0.55,10,3,ALL,0.0,0.5,1401,7652,0.3172,24.79,189706.0,0.3017,0.0155,3.14,35644.0,5.66,-18096.3,112585.6,10,0.5,0.291,0.404,0.094,668
May-Jun25,0.55,10,3,ALL,0.0,0.7,1401,13492,0.434,12.88,173768.0,0.3017,0.1323,2.86,39714.9,4.75,-21355.0,114936.2,10,0.5,0.267,0.37,0.0795,843
May-Jun25,0.55,10,3,ALL,0.3,0.8,1401,13384,0.572,0.03,445.0,0.3017,0.2703,0.07,12049.4,1.03,-6974.6,9657.7,10,0.4,0.025,0.059,0.0049,810
May-Jun25,0.55,10,3,NO,0.0,1.0,1401,11690,0.6109,12.34,144307.0,0.4384,0.1726,2.46,11199.2,8.08,-9952.2,133140.5,10,0.5,0.398,0.491,0.1647,707
May-Jun25,0.55,10,3,NO,0.0,0.5,1401,3380,0.3393,45.87,155045.0,0.4384,-0.099,2.85,12527.0,11.05,-7602.2,124456.3,10,0.6,0.476,0.585,0.2347,387
May-Jun25,0.55,10,3,NO,0.0,0.7,1401,6826,0.4587,20.3,138543.0,0.4384,0.0203,2.54,16177.9,7.09,-10463.0,123335.2,10,0.5,0.427,0.522,0.1889,564
May-Jun25,0.55,10,3,NO,0.3,0.8,1401,7757,0.5724,-2.51,-19440.0,0.4384,0.134,-2.99,21963.9,0.26,-13542.3,2523.5,10,0.3,0.023,0.058,0.0053,608
May-Jun25,0.55,10,3,YES,0.0,1.0,1401,8813,0.5145,5.07,44661.0,0.2362,0.2783,1.48,28156.8,2.16,-11921.6,62560.3,10,0.5,0.112,0.186,0.0191,796
May-Jun25,0.55,10,3,YES,0.0,0.5,1401,4272,0.2996,8.11,34661.0,0.2362,0.0634,1.14,34987.7,1.74,-13171.5,60518.9,10,0.5,0.127,0.21,0.0237,585
May-Jun25,0.55,10,3,YES,0.0,0.7,1401,6666,0.4088,5.28,35224.0,0.2362,0.1726,1.16,31936.0,1.8,-12645.0,61840.6,10,0.5,0.116,0.192,0.0201,732
