min_hr,min_mkts,min_mos,direction,entry,N,HR,ROI%,ROI_95CI,HR_95CI,avg_sharpe,worst_dd,win_windows
0.75,50,3,NO,0.0-0.5,1059,0.36,302.6,"[85.46, 576.99]","[0.3295, 0.3881]",2.4,10722.0,4/5
0.85,10,9,ALL,0.0-0.7,73,0.712,148.1,"[42.37, 316.94]","[0.6164, 0.8219]",3.8,100.0,3/3
0.85,30,9,ALL,0.0-0.7,73,0.712,148.1,"[42.37, 316.94]","[0.6164, 0.8219]",3.8,100.0,3/3
0.85,50,9,ALL,0.0-0.7,73,0.712,148.1,"[42.37, 316.94]","[0.6164, 0.8219]",3.8,100.0,3/3
0.75,30,3,NO,0.0-0.5,1223,0.358,263.9,"[72.78, 516.17]","[0.332, 0.3859]",2.5,10980.0,4/5
0.65,50,6,NO,0.0-0.5,4204,0.346,120.6,"[50.67, 218.59]","[0.333, 0.3613]",3.7,4992.0,5/5
0.65,30,6,NO,0.0-0.5,4279,0.346,118.4,"[49.05, 206.73]","[0.3326, 0.3594]",3.7,5088.0,5/5
0.65,10,6,NO,0.0-0.5,4284,0.346,118.2,"[50.73, 208.74]","[0.3322, 0.3604]",3.7,5088.0,5/5
0.65,30,9,NO,0.0-0.5,1752,0.396,156.1,"[68.31, 301.51]","[0.3756, 0.4195]",3.6,2865.0,5/5
0.65,50,9,NO,0.0-0.5,1752,0.396,156.1,"[68.31, 301.51]","[0.3756, 0.4195]",3.6,2865.0,5/5
