min_hr,min_mkts,min_mos,direction,entry_lo,entry_hi,n_windows,avg_HR,std_HR,min_HR,avg_ROI,std_ROI,min_ROI,total_PnL,avg_PnL,total_signals,avg_signals,avg_sharpe,min_sharpe,worst_dd,avg_pf,min_pf,avg_pct_pos_wk,avg_pool,avg_hhi,avg_top3,pos_windows,win_rate_windows,stability_score
0.75,50,3,NO,0.0,0.5,5,0.3649,0.121884248367047,0.16,368.852,481.6578590348132,-10.28,320412.0,64082.4,1059,211.8,2.39,-1.8,10721.9,37.414,0.5,0.6178000000000001,108.4,0.40865999999999997,0.6202,4,0.8,124.93907048259337
0.85,10,9,ALL,0.0,0.7,3,0.7480666666666668,0.11397900391446371,0.625,199.85999999999999,171.28487586474176,18.63,10810.0,3603.3333333333335,73,24.333333333333332,3.8066666666666666,2.8,100.0,27.383333333333336,4.76,0.7276666666666666,8.0,0.5109333333333334,0.8516666666666666,3,1.0,119.8065620676291
0.85,30,9,ALL,0.0,0.7,3,0.7480666666666668,0.11397900391446371,0.625,199.85999999999999,171.28487586474176,18.63,10810.0,3603.3333333333335,73,24.333333333333332,3.8066666666666666,2.8,100.0,27.383333333333336,4.76,0.7276666666666666,8.0,0.5109333333333334,0.8516666666666666,3,1.0,119.8065620676291
0.85,50,9,ALL,0.0,0.7,3,0.7480666666666668,0.11397900391446371,0.625,199.85999999999999,171.28487586474176,18.63,10810.0,3603.3333333333335,73,24.333333333333332,3.8066666666666666,2.8,100.0,27.383333333333336,4.76,0.7276666666666666,8.0,0.5109333333333334,0.8516666666666666,3,1.0,119.8065620676291
0.75,30,3,NO,0.0,0.5,5,0.36172,0.10965697424240738,0.1781,308.228,391.59413321703386,-12.87,322736.0,64547.2,1223,244.6,2.492,-2.0,10979.8,36.482,0.5,0.6178000000000001,182.0,0.37917999999999996,0.5850000000000001,4,0.8,108.56993339148308
0.65,50,6,NO,0.0,0.5,5,0.35368,0.06385782645846946,0.2769,179.4,155.71899627213116,21.61,507099.0,101419.8,4204,840.8,3.668,2.51,4991.9,39.952,5.77,0.6602,177.4,0.49194000000000004,0.708,5,1.0,108.02350186393443
0.65,30,6,NO,0.0,0.5,5,0.35356,0.06270779855807411,0.2756,174.884,150.85768966148197,21.59,506824.0,101364.8,4279,855.8,3.6759999999999997,2.5,5088.2,39.384,5.69,0.6402,206.2,0.48634000000000005,0.7024,5,1.0,105.932155169259
0.65,10,6,NO,0.0,0.5,5,0.35362,0.0632055139999668,0.2746,174.45999999999998,150.2959287539087,21.45,506528.0,101305.6,4284,856.8,3.6719999999999997,2.5,5088.2,39.372,5.69,0.6402,211.2,0.48572,0.7020000000000001,5,1.0,105.74703562304563
0.65,30,9,NO,0.0,0.5,5,0.40212000000000003,0.07997044454046759,0.3333,215.096,235.0988981896768,14.13,273430.0,54686.0,1752,350.4,3.604,2.05,2864.9,inf,3.74,0.6556,72.6,0.43596,0.6828000000000001,5,1.0,101.78555090516161
0.65,50,9,NO,0.0,0.5,5,0.40212000000000003,0.07997044454046759,0.3333,215.096,235.0988981896768,14.13,273430.0,54686.0,1752,350.4,3.604,2.05,2864.9,inf,3.74,0.6556,72.4,0.43596,0.6828000000000001,5,1.0,101.78555090516161
0.65,10,9,NO,0.0,0.5,5,0.40212000000000003,0.07997044454046759,0.3333,215.096,235.0988981896768,14.13,273430.0,54686.0,1752,350.4,3.604,2.05,2864.9,inf,3.74,0.6556,72.6,0.43596,0.6828000000000001,5,1.0,101.78555090516161
0.75,10,3,NO,0.0,0.5,5,0.3673,0.11497919377000347,0.1964,267.302,343.0932231478786,-1.08,327640.0,65528.0,1544,308.8,2.698,-0.19,11338.6,27.924,0.93,0.5955999999999999,435.8,0.33712,0.5532,4,0.8,95.43138842606074
0.65,50,3,NO,0.0,0.5,5,0.33544,0.04918346266785208,0.2881,124.50399999999999,99.97133779238926,16.51,672107.0,134421.4,7239,1447.8,3.7979999999999996,2.53,7648.1,54.652,3.65,0.6402,352.6,0.32292,0.6166,5,1.0,79.47133110380537
0.6,10,9,NO,0.0,0.5,5,0.36798000000000003,0.0719991111056241,0.2602,183.94,210.04549019200581,-12.58,649220.0,129844.0,4640,928.0,2.98,-2.22,32347.9,55.25600000000001,0.44,0.5734,110.6,0.50588,0.687,4,0.8,75.14325490399709
0.6,30,9,NO,0.0,0.5,5,0.36798000000000003,0.0719991111056241,0.2602,183.94,210.04549019200581,-12.58,649220.0,129844.0,4640,928.0,2.98,-2.22,32347.9,55.25600000000001,0.44,0.5734,110.6,0.50588,0.687,4,0.8,75.14325490399709
0.6,50,9,NO,0.0,0.5,5,0.36798000000000003,0.0719991111056241,0.2602,183.94,210.04549019200581,-12.58,649220.0,129844.0,4640,928.0,2.98,-2.22,32347.9,55.25600000000001,0.44,0.5734,110.4,0.50588,0.687,4,0.8,75.14325490399709
0.85,50,6,ALL,0.0,0.5,4,0.473175,0.0631027931236011,0.3846,100.0825,73.84258815209553,38.63,12319.0,3079.75,120,30.0,3.5149999999999997,2.63,363.4,6.755,2.29,0.62475,14.5,0.439275,0.79725,4,1.0,74.75020592395224
0.65,30,3,NO,0.0,0.5,5,0.33092,0.04366648600471532,0.2809,113.33399999999999,91.70426342324548,15.85,664188.0,132837.6,7817,1563.4,3.768,2.45,7934.7,44.153999999999996,3.57,0.6224000000000001,586.0,0.30006000000000005,0.591,5,1.0,72.23686828837725
0.65,10,3,NO,0.0,0.5,5,0.33277999999999996,0.04248137238837747,0.2795,103.94800000000001,84.85402153109776,15.66,668456.0,133691.2,8588,1717.6,3.822,2.46,8776.8,34.326,3.19,0.6202,1155.6,0.26988,0.5556,5,1.0,66.21898923445113
0.85,10,6,ALL,0.0,0.5,4,0.478575,0.04584585586506158,0.4286,95.9425,75.97332750160852,26.03,12706.0,3176.5,125,31.25,3.3724999999999996,1.71,311.6,8.1225,1.72,0.63625,20.0,0.402,0.75975,4,1.0,65.76483624919574
0.85,30,6,ALL,0.0,0.5,4,0.478575,0.04584585586506158,0.4286,95.9425,75.97332750160852,26.03,12706.0,3176.5,125,31.25,3.3724999999999996,1.71,311.6,8.1225,1.72,0.63625,19.0,0.402,0.75975,4,1.0,65.76483624919574
0.7,50,3,NO,0.0,0.5,5,0.36772,0.0704377526614812,0.2548,157.076,187.76907181429002,4.1,333030.0,66606.0,2645,529.0,2.684,1.08,8032.8,32.372,1.57,0.5953999999999999,197.4,0.33926,0.5631999999999999,5,1.0,64.42146409285499
0.65,50,9,NO,0.0,0.7,5,0.5189199999999999,0.034074800072781034,0.4846,113.626,116.3333115663781,9.44,281196.0,56239.2,3495,699.0,3.8340000000000005,2.45,1672.3,inf,3.07,0.7002,72.4,0.40404,0.6346,5,1.0,58.291344216810955
