n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
3817,0.1053183128111082,-0.39658559192442217,3.160958104931347,13.0,-138.8592488594767,681.6071428571429,YES,0.06,False,False,False,0.0
3715,0.09528936742934051,-0.40661453730618985,3.141834071821725,13.0,-141.509398974271,663.3928571428572,YES,0.06,False,False,False,0.25
3680,0.09266304347826088,-0.4092408612572695,3.1421667998540186,13.0,-142.4384914027854,657.1428571428572,YES,0.06,False,False,False,0.33
3410,0.09970674486803519,-0.40219715986749516,3.364549567469396,13.0,-149.89428335294036,608.9285714285714,YES,0.06,False,False,True,0.0
3316,0.08896260554885405,-0.4129412991866763,3.344721734075153,13.0,-152.9915525487035,592.1428571428572,YES,0.06,False,False,True,0.25
3286,0.08581862446743761,-0.41608528026809277,3.344313193799442,13.0,-154.13754378974636,586.7857142857143,YES,0.06,False,False,True,0.33
3791,0.09865470852017937,-0.403249196215351,3.1475081663365683,13.0,-140.59164607271717,676.9642857142858,YES,0.06,False,True,False,0.0
3688,0.08839479392624729,-0.4135091108092831,3.131696865182868,13.0,-143.4445129158632,658.5714285714287,YES,0.06,False,True,False,0.25
3655,0.08563611491108071,-0.4162677898244497,3.1327423497626725,13.0,-144.44969361509473,652.6785714285714,YES,0.06,False,True,False,0.33
3401,0.09497206703910614,-0.4069318376964242,3.3411173654343678,13.0,-150.6026248034558,607.3214285714286,YES,0.06,False,True,True,0.0
3306,0.08439201451905626,-0.4175118902164741,3.324839412951295,13.0,-153.76541405178764,590.3571428571429,YES,0.06,False,True,True,0.25
3278,0.08145210494203783,-0.42045179979349256,3.3251719399443287,13.0,-154.86363988863644,585.3571428571429,YES,0.06,False,True,True,0.33
3817,0.1053183128111082,-0.39658559192442217,4.900678405836315,13.0,-215.28425867924255,681.6071428571429,YES,0.06,True,False,False,0.0
3715,0.09528936742934051,-0.40661453730618985,4.85678266639748,13.0,-218.75133452609737,663.3928571428572,YES,0.06,True,False,False,0.25
3680,0.09266304347826088,-0.4092408612572695,4.858658359292202,13.0,-220.24927733666655,657.1428571428572,YES,0.06,True,False,False,0.33
3410,0.09970674486803519,-0.40219715986749516,5.36837082482082,13.0,-239.1666644889367,608.9285714285714,YES,0.06,True,False,True,0.0
3316,0.08896260554885405,-0.4129412991866763,5.322919701509829,13.0,-243.47668176086665,592.1428571428572,YES,0.06,True,False,True,0.25
3286,0.08581862446743761,-0.41608528026809277,5.323287806528853,13.0,-245.34738818886782,586.7857142857143,YES,0.06,True,False,True,0.33
3791,0.09865470852017937,-0.403249196215351,4.8664321967629895,13.0,-217.37186272037692,676.9642857142858,YES,0.06,True,True,False,0.0
3688,0.08839479392624729,-0.4135091108092831,4.829805337937322,13.0,-221.22481964371104,658.5714285714287,YES,0.06,True,True,False,0.25
3655,0.08563611491108071,-0.4162677898244497,4.83356435880678,13.0,-222.87402305886258,652.6785714285714,YES,0.06,True,True,False,0.33
3401,0.09497206703910614,-0.4069318376964242,5.311231488970938,13.0,-239.4065564571389,607.3214285714286,YES,0.06,True,True,True,0.0
3306,0.08439201451905626,-0.4175118902164741,5.273609607581903,13.0,-243.89110695049243,590.3571428571429,YES,0.06,True,True,True,0.25
3278,0.08145210494203783,-0.42045179979349256,5.275820218366657,13.0,-245.71142099436827,585.3571428571429,YES,0.06,True,True,True,0.33
3207,0.08886810102899906,-0.4130358037065313,3.473346157568368,13.0,-158.91134640837157,572.6785714285714,YES,0.08,False,False,False,0.0
3121,0.07882089074014739,-0.42308301399538295,3.4506853585494817,13.0,-161.7149200812761,557.3214285714286,YES,0.08,False,False,False,0.25
3092,0.07535575679172057,-0.4265481479438098,3.4507046950078166,13.0,-163.04031102534572,552.1428571428572,YES,0.08,False,False,False,0.33
2853,0.09113214160532772,-0.41077176313020264,3.6693782869501907,13.0,-166.95991257476817,509.4642857142857,YES,0.08,False,False,True,0.0
2772,0.08008658008658008,-0.4218173246489503,3.6467261392974217,13.0,-170.39101999080003,495.00000000000006,YES,0.08,False,False,True,0.25
2745,0.07650273224043716,-0.42540117249509324,3.6475040002017476,13.0,-171.8753514498129,490.17857142857144,YES,0.08,False,False,True,0.33
3199,0.08690215692403876,-0.41500174781149163,3.448498873941096,13.0,-158.525508185891,571.25,YES,0.08,False,True,False,0.0
3115,0.07704654895666131,-0.4248573557788691,3.4279568808224643,13.0,-161.32349864605428,556.25,YES,0.08,False,True,False,0.25
3092,0.07470892626131953,-0.42719497847421084,3.4263550372940217,13.0,-162.1353230475866,552.1428571428572,YES,0.08,False,True,False,0.33
2830,0.08445229681978798,-0.4174516079157424,3.651847660469793,13.0,-168.8643335327768,505.3571428571429,YES,0.08,False,True,True,0.0
2750,0.07381818181818182,-0.42808572291734853,3.6320775863891996,13.0,-172.22849271817688,491.0714285714286,YES,0.08,False,True,True,0.25
2728,0.07111436950146628,-0.4307895352340641,3.631351630542589,13.0,-173.28165576290615,487.14285714285717,YES,0.08,False,True,True,0.33
3207,0.08886810102899906,-0.4130358037065313,5.6288346872573625,13.0,-257.5285209949898,572.6785714285714,YES,0.08,True,False,False,0.0
3121,0.07882089074014739,-0.42308301399538295,5.576906366525177,13.0,-261.35937463231517,557.3214285714286,YES,0.08,True,False,False,0.25
3092,0.07535575679172057,-0.4265481479438098,5.5783768336177815,13.0,-263.56943707336455,552.1428571428572,YES,0.08,True,False,False,0.33
2853,0.09113214160532772,-0.41077176313020264,6.121333921209339,13.0,-278.52603258726026,509.4642857142857,YES,0.08,True,False,True,0.0
2772,0.08008658008658008,-0.4218173246489503,6.070071804651595,13.0,-283.6203451272179,495.00000000000006,YES,0.08,True,False,True,0.25
2745,0.07650273224043716,-0.42540117249509324,6.073660846822347,13.0,-286.1991632022389,490.17857142857144,YES,0.08,True,False,True,0.33
