primary_tag,n_markets,yes_base_rate
Games,56235,0.34866186538632526
Basketball,47225,0.35843303335097937
Esports,24710,0.30841764467826793
Crypto,9849,0.15504112092598232
Culture,9787,0.17329110043935833
Dota 2,8102,0.24129844482843743
CFB,4668,0.4078834618680377
Mentions,4489,0.4250389841835598
Bitcoin,3889,0.17665209565440987
Awards,3685,0.14029850746268657
All,3604,0.30438401775804663
EPL,3359,0.3474248288181006
Cricket,2972,0.23788694481830416
Geopolitics,2518,0.2915011914217633
New York City,2342,0.15883859948761742
EFL Championship,2175,0.3719540229885058
2026 Winter Games,2095,0.1054892601431981
Golf,2075,0.03469879518072289
London,1748,0.15789473684210525
Formula 1,1723,0.09286128845037725
Equities,1707,0.1341534856473345
NFL,1559,0.1860166773572803
Sports,1483,0.22926500337154418
CBB,1459,0.3564084989718986
Argentina Primera División,1416,0.307909604519774
4H,1342,0.11251862891207154
Elections,1254,0.16586921850079744
Weather,1165,0.1536480686695279
Eredivisie,1163,0.42562338779019776
Politics,1009,0.244796828543112
